,Address,BeginDate,BeginTime,Category,Distance,Duration,EndDate,EndTime,IndexTime,Name,WeekDay,Weather,"Mood (1,2,3,4,5::negative,neutral,positive)"
370,"Plano, TX 75074",3/3/2018,15:32:06,,0,1h 39min 5sec,3/3/2018,17:11:11,3/3/2018 15:32,2428 Bigleaf Ct,5, clear-day,
371,,3/3/2018,15:19:52,Driving,2150,0h 12min 14sec,3/3/2018,15:32:06,3/3/2018 15:19,Driving,5, clear-day,
372,"131 W Spring Creek Pkwy, Plano, TX 75023",3/3/2018,14:51:40,Asian Grocery Store,0,0h 28min 12sec,3/3/2018,15:19:52,3/3/2018 14:51,99 Ranch Market,5, clear-day,
373,,3/3/2018,14:33:05,Driving,10004,0h 18min 34sec,3/3/2018,14:51:40,3/3/2018 14:33,Driving,5, clear-day,
374,"1520 Independence Pkwy, Plano, TX 75075",3/3/2018,13:00:18,Chinese,0,1h 32min 47sec,3/3/2018,14:33:05,3/3/2018 13:00,Sun Lok Kee BBQ,5, clear-day,
375,,3/3/2018,12:46:11,Driving,6901,0h 14min 6sec,3/3/2018,13:00:18,3/3/2018 12:46,Driving,5, clear-day,
376,"2071 N Central Expy, Richardson, TX 75080",3/3/2018,10:11:42,Breakfast Restaurant,0,2h 34min 29sec,3/3/2018,12:46:11,3/3/2018 10:11,Cafe Brazil,5, clear-day,
377,,3/3/2018,10:04:24,Driving,9330,0h 7min 18sec,3/3/2018,10:11:42,3/3/2018 10:04,Driving,5, clear-day,
378,"Plano, TX 75074",3/3/2018,1:32:01,,0,8h 32min 22sec,3/3/2018,10:04:24,3/3/2018 1:32,2428 Bigleaf Ct,5, clear-night,
379,,3/3/2018,1:08:03,Driving,7830,0h 23min 58sec,3/3/2018,1:32:01,3/3/2018 1:08,Driving,5, clear-night,
380,"Plano, TX 75025",3/2/2018,21:07:26,,0,4h 0min 37sec,3/3/2018,1:08:03,3/2/2018 21:07,2217 Stanmore Ln,4, clear-night,
381,,3/2/2018,18:52:38,Driving,179511,2h 14min 48sec,3/2/2018,21:07:26,3/2/2018 18:52,Driving,4, clear-night,
382,"1301 S University Parks Dr, Waco, TX 76706",3/2/2018,18:30:36,Private University,0,0h 22min 2sec,3/2/2018,18:52:38,3/2/2018 18:30,Baylor University,4, clear-night,
383,,3/2/2018,16:59:17,Driving,148975,1h 31min 18sec,3/2/2018,18:30:36,3/2/2018 16:59,Driving,4, clear-day,
384,"11900 Hobby Horse Ct, Austin, TX 78758",3/2/2018,16:15:21,Apartment Building,0,0h 43min 56sec,3/2/2018,16:59:17,3/2/2018 16:15,Radius at the Domain,4, partly-cloudy-day,
385,,3/2/2018,16:13:33,Driving,13536,0h 1min 48sec,3/2/2018,16:15:21,3/2/2018 16:13,Driving,4, partly-cloudy-day,
386,"Austin, TX 78712",3/2/2018,16:07:25,Public University,0,0h 6min 7sec,3/2/2018,16:13:33,3/2/2018 16:07,The University of Texas at Austin,4, partly-cloudy-day,
387,,3/2/2018,16:01:05,Driving,13724,0h 6min 19sec,3/2/2018,16:07:25,3/2/2018 16:01,Driving,4, partly-cloudy-day,
388,"Austin, TX 78759",3/2/2018,15:47:58,Parking Lot,0,0h 13min 7sec,3/2/2018,16:01:05,3/2/2018 15:47,10401 Research Blvd,4, partly-cloudy-day,
389,,3/2/2018,15:28:58,Driving,15283,0h 18min 59sec,3/2/2018,15:47:58,3/2/2018 15:28,Driving,4, clear-day,
390,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/2/2018,13:25:40,Apartment Building,0,2h 3min 17sec,3/2/2018,15:28:58,3/2/2018 13:25,Home,4, clear-day,
391,,3/2/2018,13:03:40,On a bus,3220,0h 22min 0sec,3/2/2018,13:25:40,3/2/2018 13:03,On a bus,4, clear-day,
392,"114 W 7th St, Austin, TX 78701",3/2/2018,11:40:38,Steak,0,1h 23min 1sec,3/2/2018,13:03:40,3/2/2018 11:40,Perry's Steakhouse & Grille,4, clear-day,
393,,3/2/2018,11:34:28,Driving,894,0h 6min 10sec,3/2/2018,11:40:38,3/2/2018 11:34,Driving,4, clear-day,
394,,3/2/2018,11:18:42,On a bus,1961,0h 15min 46sec,3/2/2018,11:34:28,3/2/2018 11:18,On a bus,4, clear-day,
395,"Austin, TX 78712",3/2/2018,9:02:19,Public University,0,2h 16min 22sec,3/2/2018,11:18:42,3/2/2018 9:02,The University of Texas at Austin,4, clear-day,
396,,3/2/2018,8:48:36,Walking,1925,0h 13min 43sec,3/2/2018,9:02:19,3/2/2018 8:48,Walking,4, clear-day,
397,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/2/2018,0:35:32,Apartment Building,0,8h 13min 4sec,3/2/2018,8:48:36,3/2/2018 0:35,Home,4, clear-night,
398,,3/2/2018,0:24:37,Driving,1331,0h 10min 54sec,3/2/2018,0:35:32,3/2/2018 0:24,Driving,4, clear-night,
399,"Austin, TX 78712",3/1/2018,22:01:29,Public University,0,2h 23min 8sec,3/2/2018,0:24:37,3/1/2018 22:01,The University of Texas at Austin,3, clear-night,
400,,3/1/2018,21:50:51,On a bus,1296,0h 10min 37sec,3/1/2018,22:01:29,3/1/2018 21:50,On a bus,3, clear-night,
401,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/1/2018,21:40:07,Apartment Building,0,0h 10min 44sec,3/1/2018,21:50:51,3/1/2018 21:40,Home,3, clear-night,
402,,3/1/2018,21:18:49,Driving,9163,0h 21min 18sec,3/1/2018,21:40:07,3/1/2018 21:18,Driving,3, clear-night,
403,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/1/2018,21:04:45,Apartment Building,0,0h 14min 3sec,3/1/2018,21:18:49,3/1/2018 21:04,Home,3, clear-night,
404,,3/1/2018,20:51:32,Driving,1022,0h 13min 13sec,3/1/2018,21:04:45,3/1/2018 20:51,Driving,3, clear-night,
405,"301 E Dean Keeton St, Austin, TX 78712",3/1/2018,18:51:32,School,0,1h 59min 59sec,3/1/2018,20:51:32,3/1/2018 18:51,ECJ,3, clear-night,
406,,3/1/2018,18:50:21,Walking,22,0h 1min 11sec,3/1/2018,18:51:32,3/1/2018 18:50,Walking,3, clear-night,
407,,3/1/2018,18:37:29,Driving,2716,0h 12min 51sec,3/1/2018,18:50:21,3/1/2018 18:37,Driving,3, clear-night,
408,"1000 E 41st St, Austin, TX 78751",3/1/2018,18:06:52,Shopping Mall,0,0h 30min 37sec,3/1/2018,18:37:29,3/1/2018 18:06,Hancock Center,3, clear-day,
409,,3/1/2018,18:00:52,Driving,1739,0h 5min 59sec,3/1/2018,18:06:52,3/1/2018 18:00,Driving,3, clear-day,
410,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/1/2018,17:47:08,Apartment Building,0,0h 13min 43sec,3/1/2018,18:00:52,3/1/2018 17:47,Home,3, clear-day,
411,,3/1/2018,17:31:38,Walking,1254,0h 15min 29sec,3/1/2018,17:47:08,3/1/2018 17:31,Walking,3, clear-day,
412,"Austin, TX 78712",3/1/2018,15:27:35,Public University,0,2h 4min 3sec,3/1/2018,17:31:38,3/1/2018 15:27,The University of Texas at Austin,3, clear-day,
413,,3/1/2018,15:19:55,Walking,712,0h 7min 39sec,3/1/2018,15:27:35,3/1/2018 15:19,Walking,3, clear-day,
414,"301 E Dean Keeton St, Austin, TX 78712",3/1/2018,12:49:01,School,0,2h 30min 53sec,3/1/2018,15:19:55,3/1/2018 12:49,ECJ,3, clear-day,
